Player,Tm,G,GS,WS,WS%,salary,WS%,expected_salary,salary_diff
Kyrie Irving,CLE,53,5.0,$14746000.0,0.08695652173913042,$9211446.26
Matthew Dellavedova,CLE,76,14,3.8,$1147280.0,0.06608695652173911,$7000699.16
Timofey Mozgov,CLE,76,48,3.7,$4950000.0,0.06434782608695651,$6816470.23
Richard Jefferson,CLE,74,5,2.7,$1499000.0,0.046956521739130425,$4974180.98
Iman Shumpert,CLE,5,1.7,$9000000.0,0.02956521739130434,$3131891.73
Channing Frye,CLE,3,1.5,$7807579.0,0.026086956521739126,$2763433.88
James Jones,CLE,0,1.2,$1499000.0,0.0208695652173913,$2210747.1
Mo Williams,CLE,14,1.1,$2100000.0,0.01913043478260869,$2026518.18
Sasha Kaun,CLE,0,0.2,$1300000.0,0.0034782608695652167,$368457.85
Jordan McRae,CLE,1,0.2,$142084.0,0.0034782608695652167,$368457.85
Dahntay Jones,CLE,0,0.1,$8819.0,0.0017391304347826083,$184228.93
Dirk Nowitzki,DAL,75,75,6.8,$8333334.0,0.16190476190476188,$11590806.59
Zaza Pachulia,DAL,76,69,6.0,$5200000.0,0.14285714285714282,$10227182.29
Chandler Parsons,DAL,61,51,4.3,$15361500.0,0.10238095238095236,$7329480.64
Wesley Matthews,DAL,78,78,3.7,$16400000.0,0.08809523809523809,$6306762.41
Deron Williams,DAL,65,63,3.7,$5500000.0,0.08809523809523809,$6306762.41
Dwight Powell,DAL,69,2,3.1,$845059.0,0.0738095238095238,$5284044.18
J.J. Barea,DAL,74,16,2.8,$4000000.0,0.06666666666666665,$4772685.07
Raymond Felton,DAL,80,31,2.7,$3950313.0,0.06428571428571428,$4602232.03
Devin Harris,DAL,64,0,2.5,$4053000.0,0.059523809523809514,$4261325.95
David Lee,DAL,1,2.1,$2102224.0,0.049999999999999996,$3579513.8
Salah Mejri,DAL,6,1.3,$525093.0,0.030952380952380946,$2215889.5
Justin Anderson,DAL,9,1.1,$1449000.0,0.026190476190476188,$1874983.42
JaVale McGee,DAL,2,1.1,$1270964.0,0.026190476190476188,$1874983.42
Jeremy Evans,DAL,2,0.6,$1100602.0,0.014285714285714284,$1022718.23
Charlie Villanueva,DAL,62,4,0.2,$1499187.0,0.0047619047619047615,$340906.08
Nikola Jokic,DEN,80,55,6.7,$1300000.0,0.19940476190476195,$11253227.88
Danilo Gallinari,DEN,53,6.3,$14000000.0,0.18750000000000003,$10581393.38
Kenneth Faried,DEN,67,64,5.5,$11235955.0,0.16369047619047622,$9237724.38
Will Barton,DEN,82,1,4.3,$3333333.0,0.1279761904761905,$7222220.88
Gary Harris,DEN,76,76,4.0,$1587480.0,0.11904761904761907,$6718345.0
Darrell Arthur,DEN,70,16,2.3,$2814000.0,0.06845238095238096,$3863048.38
Joffrey Lauvergne,DEN,59,15,2.3,$1709720.0,0.06845238095238096,$3863048.38
D.J. Augustin,DEN,0,1.9,$3000000.0,0.056547619047619055,$3191213.88
J.J. Hickson,DEN,9,0.5,$5613500.0,0.014880952380952384,$839793.13
Jameer Nelson,DEN,15,0.5,$4500000.0,0.014880952380952384,$839793.13
Jusuf Nurkic,DEN,3,0.4,$1842000.0,0.011904761904761908,$671834.5
JaKarr Sampson,DEN,22,0.4,$285489.0,0.011904761904761908,$671834.5
Mike Miller,DEN,2,0.3,$1499187.0,0.00892857142857143,$503875.88
Axel Toupane,DEN,0,0.3,$61776.0,0.00892857142857143,$503875.88
Sean Kilpatrick,DEN,0,0.1,$99418.0,0.002976190476190477,$167958.63
Erick Green,DEN,0,0.0,$100000.0,0.0,$0.0
Kostas Papanikolaou,DEN,6,-0.1,$350000.0,-0.002976190476190477,$-167958.63
Emmanuel Mudiay,DEN,68,66,-2.1,$3102240.0,-0.06250000000000001,$-3527131.13
Andre Drummond,DET,81,81,7.4,$3272091.0,0.18877551020408162,$12679727.46
Reggie Jackson,DET,79,79,6.9,$14000000.0,0.1760204081632653,$11822989.12
Marcus Morris,DET,80,80,5.4,$5000000.0,0.1377551020408163,$9252774.09
Kentavious Caldwell-Pope,DET,76,76,5.3,$2891760.0,0.13520408163265304,$9081426.42
