Rk,Player,From,To,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,WS,salary,WS%,expected_salary,salary_diff
13,Jordan Mickey,,,BOS,NBA,16,0,57,8,22,8,22,0,0,5,10,6,7,13,1,0,11,1,5,21,.364,.364,,.364,.500,.398,0.1,$1200000.0,0.002053388090349076,$149957.8,$-1050042.2
14,James Young,,,BOS,NBA,29,0,199,11,36,5,10,6,26,1,4,4,22,26,9,6,1,5,17,29,.306,.500,.231,.389,.250,.384,0.1,$1749840.0,0.002053388090349076,$149957.8,$-1599882.2
15,Coty Clarke,,,BOS,NBA,3,0,6,2,4,0,2,2,2,0,0,0,1,1,0,0,0,1,0,6,.500,.000,1.000,.750,,.750,0.0,$61776.0,0.0,$0.0,$-61776.0
16,Terry Rozier,,,BOS,NBA,39,0,311,29,106,23,79,6,27,8,10,24,39,63,37,6,1,19,23,72,.274,.291,.222,.302,.800,.326,-0.3,$1824360.0,-0.006160164271047227,$-449873.39,$-2274233.39
1,Kemba Walker,,,CHO,NBA,81,81,2885,568,1331,386,841,182,490,371,438,56,301,357,421,126,39,171,111,1689,.427,.459,.371,.495,.847,.554,9.9,$12000000.0,0.20711297071129708,$16034359.16,$4034359.16
2,Marvin Williams,,,CHO,NBA,81,81,2338,338,747,186,369,152,378,120,144,127,394,521,110,58,77,62,133,948,.452,.504,.402,.554,.833,.585,7.8,$7000000.0,0.16317991631799164,$12633131.46,$5633131.46
3,Cody Zeller,,,CHO,NBA,73,60,1774,231,437,230,427,1,10,175,232,138,317,455,71,57,63,68,204,638,.529,.539,.100,.530,.754,.592,6.3,$4204200.0,0.13179916317991633,$10203683.1,$5999483.1
4,Nicolas Batum,,,CHO,NBA,70,70,2448,372,873,233,474,139,399,163,192,55,373,428,403,65,43,205,114,1046,.426,.492,.348,.506,.849,.546,5.0,$12235750.0,0.10460251046025106,$8098161.19,$-4137588.81
5,Jeremy Lin,,,CHO,NBA,78,13,2048,300,728,224,502,76,226,238,292,42,211,253,235,58,42,150,165,914,.412,.446,.336,.464,.815,.534,3.5,$2100000.0,0.07322175732217574,$5668712.83,$3568712.83
6,Frank Kaminsky,,,CHO,NBA,81,3,1708,215,525,147,323,68,202,108,148,69,266,335,98,38,43,58,126,606,.410,.455,.337,.474,.730,.513,3.3,$2612500.0,0.06903765690376569,$5344786.39,$2732286.39
7,Al Jefferson,,,CHO,NBA,47,18,1096,245,505,245,505,0,0,72,111,57,244,301,70,30,41,34,117,562,.485,.485,,.485,.649,.507,2.8,$13833333.0,0.058577405857740586,$4534970.27,$-9298362.73
8,Jeremy Lamb,,,CHO,NBA,66,0,1227,230,510,174,329,56,181,64,88,44,208,252,77,42,30,50,105,580,.451,.529,.309,.506,.727,.529,2.7,$3034356.0,0.05648535564853557,$4373007.04,$1338651.04
9,Spencer Hawes,,,CHO,NBA,57,6,1035,124,306,86,204,38,102,54,65,51,193,244,109,22,27,58,111,340,.405,.422,.373,.467,.831,.508,1.9,$5543725.0,0.0397489539748954,$3077301.25,$-2466423.75
10,Courtney Lee,,,CHO,NBA,28,28,845,98,220,67,141,31,79,23,26,10,77,87,60,33,12,23,55,250,.445,.475,.392,.516,.885,.540,1.6,$5675000.0,0.03347280334728034,$2591411.58,$-3083588.42
11,Troy Daniels,,,CHO,NBA,43,0,476,89,187,30,65,59,122,5,9,7,50,57,21,11,3,24,40,242,.476,.462,.484,.634,.556,.634,1.1,$947276.0,0.023012552301255235,$1781595.46,$834319.46
12,Tyler Hansbrough,,,CHO,NBA,44,0,343,32,71,30,68,2,3,38,65,40,49,89,8,12,7,12,55,104,.451,.441,.667,.465,.585,.522,1.0,$1185784.0,0.020920502092050212,$1619632.24,$433848.24
15,Michael Kidd-Gilchrist,,,CHO,NBA,7,7,205,33,61,30,54,3,7,20,29,12,33,45,9,3,3,8,9,89,.541,.556,.429,.566,.690,.603,0.6,$6331404.0,0.012552301255230125,$971779.34,$-5359624.66
16,Jorge Gutierrez,,,CHO,NBA,12,0,63,6,11,6,9,0,2,10,11,0,7,7,17,3,0,6,3,22,.545,.667,.000,.545,.909,.694,0.3,$190000.0,0.006276150627615063,$485889.67,$295889.67
17,Aaron Harrison,,,CHO,NBA,21,0,93,5,19,2,9,3,10,5,12,4,11,15,2,6,0,4,10,18,.263,.222,.300,.342,.417,.371,0.0,$525093.0,0.0,$0.0,$-525093.0
1,Jimmy Butler,,,CHI,NBA,67,67,2474,470,1035,406,830,64,205,395,475,79,279,358,321,110,43,132,124,1399,.454,.489,.312,.485,.832,.562,9.1,$15260000.0,0.24396782841823056,$20831412.11,$5571412.11
2,Pau Gasol,,,CHI,NBA,72,72,2291,467,995,443,926,24,69,229,289,155,638,793,294,42,146,164,148,1187,.469,.478,.348,.481,.792,.529,7.1,$7448760.0,0.19034852546916892,$16253079.78,$8804319.78
3,Taj Gibson,,,CHI,NBA,73,55,1936,263,500,263,497,0,3,101,146,206,298,504,106,47,77,78,180,627,.526,.529,.000,.526,.692,.556,5.4,$8500000.0,0.1447721179624665,$12361497.3,$3861497.3
4,Nikola Mirotic,,,CHI,NBA,66,38,1646,248,609,113,263,135,346,146,181,58,304,362,100,58,46,102,151,777,.407,.430,.390,.518,.807,.564,3.9,$5543725.0,0.10455764075067024,$8927748.05,$3384023.05
